Level,GridHeight,GridWidth,TotalTiles,RocketTiles,BombEffects,NormalTilesSum,Difficulty
1,4,3,12,0,0,12,0.5
2,5,4,20,2,0,18,1.0
3,6,5,30,2,0,28,1.5
4,6,5,30,2,2,28,2.0
5,7,6,42,2,3,40,2.5
6,7,6,42,4,3,38,3.0
7,7,6,42,4,3,38,3.5
8,7,6,42,4,4,38,4.0
9,7,6,42,4,4,38,4.5
10,7,8,56,4,4,52,5.0
11,7,6,42,4,4,38,4.5
12,7,6,42,4,4,38,4.0
13,6,5,30,4,3,26,3.5
14,6,6,36,4,3,32,3.0
15,6,5,30,2,2,28,2.5
16,6,4,24,2,2,22,2.0
17,5,4,20,2,1,18,1.5
18,5,4,20,2,1,18,1.0
19,5,4,20,2,1,18,0.5
20,5,4,20,2,1,18,0.0
21,4,3,12,0,1,12,0.5
22,4,3,12,0,1,12,1.0
23,5,4,20,2,1,18,1.5
24,6,5,30,2,2,28,2.0
25,6,5,30,2,2,28,2.5
26,7,6,42,4,3,38,3.0
27,6,6,36,4,3,32,3.5
28,7,8,56,4,4,52,4.0
29,7,8,56,4,4,52,4.5
30,7,8,56,4,4,52,5.0
31,7,8,56,4,4,52,4.5
32,7,8,56,4,4,52,4.0
33,6,6,36,4,3,32,3.5
34,6,5,30,4,2,26,3.0
35,6,5,30,2,2,28,2.5
36,6,4,24,2,2,22,2.0
37,5,4,20,2,1,18,1.5
38,5,4,20,2,1,18,1.0
39,4,4,16,0,1,16,0.5
40,5,4,20,2,1,18,0.0
41,5,4,20,2,1,18,0.5
42,5,4,20,2,1,18,1.0
43,6,4,24,2,1,22,1.5
44,6,5,30,2,2,28,2.0
45,7,6,42,2,3,40,2.5
46,7,6,42,4,3,38,3.0
47,6,5,30,4,3,26,3.5
48,7,8,56,4,4,52,4.0
49,7,8,56,4,4,52,4.5
50,7,8,56,4,4,52,5.0
51,7,6,42,4,4,38,4.5
52,7,6,42,4,4,38,4.0
53,7,6,42,4,3,38,3.5
54,6,5,30,4,2,26,3.0
55,7,6,42,2,3,40,2.5
56,5,6,30,2,2,28,2.0
57,6,4,24,2,1,22,1.5
58,5,4,20,2,1,18,1.0
59,4,3,12,0,1,12,0.5
60,5,4,20,2,1,18,0.0
61,5,4,20,2,1,18,0.5
62,5,4,20,2,1,18,1.0
63,6,5,30,2,2,28,1.5
64,5,6,30,2,2,28,2.0
65,7,6,42,2,3,40,2.5
66,7,6,42,4,3,38,3.0
67,7,6,42,4,3,38,3.5
68,7,8,56,4,4,52,4.0
69,7,8,56,4,4,52,4.5
70,7,8,56,4,4,52,5.0
71,7,8,56,4,4,52,4.5
72,7,6,42,4,4,38,4.0
73,7,6,42,4,3,38,3.5
74,6,6,36,4,3,32,3.0
75,6,5,30,2,2,28,2.5
76,5,4,20,2,1,18,2.0
77,5,4,20,2,1,18,1.5
78,4,3,12,0,1,12,1.0
79,4,3,12,0,1,12,0.5
80,5,4,20,2,1,18,0.0
81,5,4,20,2,1,18,0.5
82,5,4,20,2,1,18,1.0
83,5,6,30,2,2,28,1.5
84,6,5,30,2,2,28,2.0
85,7,6,42,2,3,40,2.5
86,7,6,42,4,3,38,3.0
87,7,6,42,4,3,38,3.5
88,7,6,42,4,4,38,4.0
89,7,8,56,4,4,52,4.5
90,7,8,56,4,4,52,5.0
91,7,6,42,4,4,38,4.5
92,7,8,56,4,4,52,4.0
93,7,6,42,4,3,38,3.5
94,6,5,30,4,2,26,3.0
95,6,6,36,2,3,34,2.5
96,5,4,20,2,1,18,2.0
97,6,4,24,2,1,22,1.5
98,5,4,20,2,1,18,1.0
99,5,4,20,2,1,18,0.5
100,5,4,20,2,1,18,0.0
